File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/CDMA_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:44 $
Title: Equation data
Date: Tuesday, 4 November 1997 21:45:20 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
    .27139269,.2111666
436    .887044271E-04,0
    .2401206,.7210547E-01
437    .889078776E-04,0
    .10690142,-.12741369
438    .891113281E-04,0
    -.7194129E-01,-.31553765
439    .893147786E-04,0
    -.21910959,-.44513434
440    .895182292E-04,0
    -.26954979,-.45816617
441    .897216797E-04,0
    -.20095976,-.34568388
442    .899251302E-04,0
    -.4095514E-01,-.15431612
443    .901285807E-04,0
    .14872571,.6522835E-01
444    .903320312E-04,0
    .31344329,.22444077
445    .905354818E-04,0
    .3875647,.26823669
446    .907389323E-04,0
    .36710661,.19767025
447    .909423828E-04,0
    .26583907,.3380907E-01
448    .911458333E-04,0
    .11875496,-.13942809
449    .913492839E-04,0
    -.3204401E-01,-.24887169
450    .915527344E-04,0
    -.15154532,-.24887169
451    .917561849E-04,0
    -.22170514,-.13942809
452    .919596354E-04,0
    -.2566428,.3380907E-01
453    .921630859E-04,0
    -.25321872,.19767025
454    .923665365E-04,0
    -.24108518,.28088085
455    .92569987E-04,0
    -.23185567,.24152474
456    .927734375E-04,0
    -.24275432,.8310451E-01
457    .92976888E-04,0
    -.25203859,-.14594927
458    .931803385E-04,0
    -.26025705,-.35648514
459    .933837891E-04,0
    -.255935,-.49063541
460    .935872396E-04,0
    -.23676689,-.49063541
461    .937906901E-04,0
    -.20991164,-.35648514
462    .939941406E-04,0
    -.18945355,-.14594927
463    .941975911E-04,0
    -.18916268,.8310451E-01
464    .944010417E-04,0
    -.22596425,.24152474
465    .946044922E-04,0
    -.26916818,.28088085
